id,company,title,exp,edu,cert,testing_skills,tech_skills,soft_skills,ai_mention,exp_band,has_testing,has_technical_narrow,has_technical_broad,has_auto_tool,ai_category
1,Falaq Food,Senior QA Engineer,3-4 yrs,Not stated,No,"Manual, SDLC/STLC, Agile/Scrum","REST API, Postman",No,No,3-7 yrs,TRUE,FALSE,TRUE,FALSE,No AI mention
2,Green Delta Insurance PLC,Senior QA Engineer,3-4 yrs,Bachelor's (CSE/related),ISTQB (advantage),"Functional,Integration,Regression,Smoke,UAT,Test Strategy","Selenium,Playwright,Cypress,Appium,REST Assured,Postman,SQL",Coordination w/ BA/Dev/PM,No,3-7 yrs,TRUE,TRUE,TRUE,TRUE,No AI mention
3,ERA-InfoTech Limited,SQA Engineer,2-3 yrs,Bachelor's/Master's,No,"Manual+Automation,SDLC","Selenium,JUnit,TestNG,Git,SVN",No,No,0-3,TRUE,FALSE,TRUE,TRUE,No AI mention
4,Core Code io,QA Tester / Manual QA Tester BD,Not mentioned,Not mentioned,No,"Regression,Functional,Integration,Exploratory","APIs,DB,SQL,web tech (basic)","Communication,teamwork",No,not specified,TRUE,TRUE,TRUE,FALSE,No AI mention
5,Codeware Ltd (posting A),SQA Engineer,1-2 yrs,BSc,No,"Manual,Web,Mobile,Automation",API testing,No,No,0-3,TRUE,FALSE,TRUE,FALSE,No AI mention
7,Itransition (nextjobz),Software QA Engineer Intern (AI-Powered),0 (Intern),Not specified,No,"Automation testing, Exploratory, requirements analysis","Playwright/Selenium, API testing, DB, CI/CD",No,"YES - explicit 'AI-first workflow', 'work with AI daily for writing code, generating test data, analyzing requirements', ML&AI listed as a skill",0-3,TRUE,FALSE,TRUE,TRUE,Direct AI-testing/AI-role mention
8,Simera/unnamed (LinkedIn ad),Software Tester,Not specified,Not specified,No,"Manual+Automated,Functional,Regression,Integration,Usability,Exploratory,UAT","Jira,TestRail,Azure DevOps","Communication, time-mgmt",No,not specified,TRUE,FALSE,TRUE,FALSE,No AI mention
9,Core Code io,Manual QA Tester BD (2nd posting via LinkedIn),Not specified,Not specified,No,"Manual,Functional,Regression,Integration,Usability,Exploratory,UAT,Cross-browser","Jira,TestRail,Azure DevOps","Communication,time-mgmt,collaboration",No,not specified,TRUE,FALSE,TRUE,FALSE,No AI mention
10,SuperAnnotate,Quality Assurance Associate (LLM/AI annotation QA),1-3 yrs (freshers ok),Bachelor's (Tech/Business/Data Science),No,"Annotation QA, data/image processing validation","Python/scripting, Slack/Discord/analytics tools","English communication, proactive mindset",YES - entire role is QA for LLM/GenAI annotation pipelines; 'cutting-edge LLM and multimodal AI projects',0-3,FALSE,TRUE,TRUE,FALSE,Direct AI-testing/AI-role mention
11,Codeware Ltd.,Software Quality Assurance (SQA) Engineer,1-2 yrs,BSc CSE,No,"Manual (core),Smoke,Sanity,Functional,Regression,Integration,System,Exploratory,UAT","Selenium,Appium,Cypress,Java/Python/C#,JMeter,Jenkins/GitLab,Postman,security(VAPT)","Communication, Agile teamwork",No,0-3,TRUE,TRUE,TRUE,TRUE,No AI mention
12,Tanvir Constructions/TCL Informatix,SQA Engineer,1-2 yrs,Bachelor's CSE/SE,No,"Unit,Integration,Functional,Regression","Postman/Swagger,Python(Django)/React frameworks,Git,CI/CD","Documentation,analytical skills",No,0-3,TRUE,TRUE,TRUE,FALSE,No AI mention
13,Polygon Technology,Software Quality Assurance Engineer (SQA),2+ yrs (3-5 preferred),Bachelor's,No,"Functional,Regression,Integration,System,Exploratory,Test Planning","Selenium,Cypress,Playwright,Postman,SQL,JMeter/Locust,CI/CD","Collaboration w/ PM/Dev/Designers,Agile ceremonies",No,3-7 yrs,TRUE,TRUE,TRUE,TRUE,No AI mention
14,Unnamed (Mohakhali DOHS),Junior SQA Engineer,Entry-level/fresher,BSc CSE/CS/CSSE,No,"Functional,Regression,Smoke,Integration,Exploratory,UAT,TDD approach","SQL(basic),Postman,Playwright,JS/TS,Git","Communication,Agile/Scrum participation",No,0-3,TRUE,TRUE,TRUE,TRUE,No AI mention
15,Riseup Labs,Jr. SQA Engineer,Entry/1+ yrs,BSc CSE,No,"SDLC/STLC/UAT,White-box+Black-box,Regression,Install/Upgrade","Cypress,Selenium,Appium,Robot framework,API testing","Self-motivated,teamwork,work ethics",No,0-3,TRUE,FALSE,TRUE,TRUE,No AI mention
16,Nano Information Technology,Junior SQA Engineer,Entry-level (Junior),Not specified,No,"Manual,Functional,Regression,Usability,UI Testing",Bug tracking tools,Agile/Scrum participation,No,0-3,TRUE,FALSE,FALSE,FALSE,No AI mention
19,"Unnamed (LinkedIn, Postman/Selenium listing)",QA Engineer / Software Tester,1+ yr,BSc/BEngg CSE,No,"Manual,Regression,Functional,Non-functional,STLC","Selenium,JMeter,Postman",No,No,0-3,TRUE,FALSE,TRUE,TRUE,No AI mention
20,AdZoic,Software Engineer (QA),2+ yrs,Not specified (skill-based),No,"API/UI/Integration automation,Load testing,Manual for edge cases","Playwright,Cypress,Selenium,Postman,SQL,Git,CI/CD,k6/JMeter/Locust,JS/Python/Go","Ownership mindset, process-fixing",YES (indirect) - explicitly states company 'sometimes use AI tools to help with hiring' though not for the QA role itself; no AI-testing-tool skill requested,3-7 yrs,TRUE,TRUE,TRUE,TRUE,Indirect/tangential AI mention
22,Bytecenture Consulting,Part-Time Software QA Engineer (localization/payment testing),Not specified,Not specified,No,"Localization testing,Payment testing,Competitor evaluation",iOS/Android device testing,"Communication,English proficiency",No,not specified,TRUE,FALSE,FALSE,FALSE,No AI mention
23,MH Global Group,Software Quality Assurance Engineer,2-4 yrs,Not specified,No,"Functional,Regression,Integration,Cross-browser,Cross-device","Postman,Swagger,SQL,PostgreSQL,Jira,ClickUp,Azure DevOps,(nice: Playwright/Cypress/Selenium/Appium/JMeter/k6/CI-CD/Docker)","Analytical,attention to detail,English communication","YES (indirect) - 'AI-enabled solutions' mentioned as part of company's broader tech exposure, not a direct testing-skill requirement",0-3,TRUE,TRUE,TRUE,TRUE,Indirect/tangential AI mention
24,Nexbild,QA Engineer - Manual Testing,2-3 yrs,Not specified,ISTQB (nice-to-have),"STLC,test design,Agile","SQL,Postman,REST,Jira/AzureDevOps,(nice:Selenium/Playwright/Cypress,JMeter)",Communication,YES (indirect) - company builds 'AI-native HR platform' but no AI-testing-tool skill required of QA role itself,0-3,TRUE,TRUE,TRUE,TRUE,Indirect/tangential AI mention
25,Indetechs Software Limited,Junior/Mid QA Engineer (Programming-First),1-4 yrs,Bachelor's CSE/SE,ISTQB (nice-to-have),"Functional,Regression,Smoke,Exploratory,unit/integration/e2e distinction","Playwright+JavaScript,Git,Linux CLI,(nice:Cypress/Selenium,API/Postman,CI/CD,Docker,cloud)","Communication,coachability","YES - explicit responsibility 'Use AI tools efficiently to accelerate research, drafting, and routine code generation'; nice-to-have 'efficient use of AI coding assistants'",0-3,TRUE,TRUE,TRUE,TRUE,Direct AI-testing/AI-role mention
26,Scopic,Remote Software Test Engineer,4+ yrs,Not specified,No,"Manual,Exploratory,Functional,Regression,API","Playwright,Selenium,Cypress,Python,JS/TS,Postman,CI/CD,Git","Communication,analytical","YES - explicit responsibility 'Test AI-driven features and AI-integrated systems, evaluating behavior beyond standard functional checks'",7+ or wide range spanning senior,TRUE,TRUE,TRUE,TRUE,Direct AI-testing/AI-role mention
